NumSaturatedHeterocycles,VSA_EState4,EState_VSA8,Kappa1,SlogP_VSA3,fr_benzene,BCUT2D_CHGLO,MaxEStateIndex,NumAliphaticHeterocycles,NumRotatableBonds,VSA_EState8,BCUT2D_MWLOW,VSA_EState1,fr_C_O,fr_allylic_oxid,EState_VSA10,SMR_VSA5,fr_Imine,SMR_VSA4,NumAromaticHeterocycles,BertzCT,VSA_EState7,Kappa3,NHOHCount,EState_VSA2,fr_NH1,PEOE_VSA7,fr_NH2,PEOE_VSA6,RingCount,log_IC50,log_CC50,log_SI,"IC50, mM","CC50, mM",SI,IC50_median,CC50_median,SI_median,SI_8
0,4.807589192862531,41.54242319814374,20.60624687294816,0.0,0,-2.343082085132494,5.094096221873098,0,7,16.98108651648622,9.700469635810666,0.0,0,0,0.0,105.7506394274039,2,43.48058343518124,0,611.9203005807427,13.25822336932681,2.868737096784919,0,0.0,0,74.03236601452443,0,54.38406644399575,4,0.7951409887051732,2.244233519824592,1.449092531119419,6.239373566893883,175.4823815688905,28.125,0,0,1,1
0,2.153503044012327,52.1760004061564,21.16345429259501,0.0,0,-2.394689647839289,3.961416712562997,0,9,17.6705653555792,9.689226058600022,0.0,0,0,0.0,117.8343210856998,0,33.49577396990991,0,516.7801241234168,14.13538102269576,3.02717656903665,2,0.0,2,97.95185976514314,0,54.38406644399575,4,-0.1124776434309128,0.7326203965833441,0.8450980400142569,0.7718312468161961,5.402818727713373,7.000000000000001,0,0,1,0
0,2.184127470091298,69.73311112885249,25.02611195742453,0.0,0,-2.4772026580666,2.627117384182923,0,9,18.2872161632852,9.68129265007358,2.517629791177771,0,0,0.0,117.8343210856998,0,33.49577396990991,0,643.6201536047666,14.4916192655274,3.470069678502657,0,0.0,0,74.03236601452444,0,41.54242319814374,4,2.349877115555938,2.2072096119872064,-0.14266750356873156,223.8087777802645,161.1423200017905,0.72,1,0,0,0
0,4.827851813732591,41.54242319814374,21.56745408348398,0.0,0,-2.342884614287352,5.097360048942529,0,8,17.01201341019265,9.70049715960851,0.0,0,0,0.0,112.1714610503299,2,43.48058343518124,0,626.6513661249833,14.69543927282678,3.263847962156897,0,0.0,0,74.03236601452443,0,60.80488806692176,4,0.23188337378770144,2.0328429166610515,1.8009595428733502,1.705624296116444,107.8556540191281,63.23529411764706,0,0,1,1
0,9.0717826238612,90.07335974583661,23.19491726781307,6.42082162292601,2,-2.342009125064716,5.150509901253949,0,4,14.6923179140855,9.70038553581742,0.0,0,0,0.0,86.48817455862581,2,43.48058343518124,0,1101.164251546143,8.627310798875893,3.345855439602058,0,10.82998093879356,0,103.0039156488389,0,65.80789147199017,6,2.0299173146730594,2.143860666979896,0.11394335230683679,107.1315318094944,139.2709913523427,1.3,1,0,0,0
0,12.35843304181242,57.16941400984153,16.38230541965992,6.42082162292601,2,-2.341882516374624,5.758408034812463,0,3,7.291772414368499,9.700404399924688,0.0,0,0,0.0,46.4544980907759,1,21.74029171759062,0,798.9913641424451,4.766280046136041,2.681684775361196,2,5.41499046939678,0,72.40855426450265,1,45.03667987291831,4,1.1771874978348635,1.4782174934988448,0.3010299956639812,15.03791057255341,30.07582114510681,2.0,0,0,0,0
0,7.534827179741789,118.2640476765454,27.5259751703328,6.42082162292601,2,-2.469845058357347,2.584471926061785,0,6,15.32736940690484,9.680919227135966,2.020151197669513,0,0,0.0,98.57185621692173,0,33.49577396990991,0,1135.685264139421,9.374572387765228,3.655882189183588,0,0.0,0,90.16227240298683,0,65.80789147199017,6,1.2766494251674152,1.163140150339897,-0.11350927482751806,18.90816681541091,14.5592884478664,0.7700000000000001,0,0,0,0
0,8.473058000295891,102.4216772163073,38.11525572392797,33.26069855278922,2,-2.54270129672399,13.8218795773563,0,12,20.05913061783378,9.49217585385057,0.0,2,0,9.589074368143644,174.3680149725315,0,22.66579303111634,0,1460.333756810977,16.41501480298867,7.081672348112992,2,33.47432133629013,2,132.0905303028812,0,123.8922081229247,6,1.4589864559360117,1.3728003083197282,-0.08618614761628333,28.77308680552558,23.59393118053097,0.82,0,0,0,0
0,12.08548694301886,150.9526137640002,39.63696532816995,39.68152017571523,4,-2.542448017052229,14.17161448496984,0,8,18.37752500961026,9.492103494849209,0.0,2,0,9.589074368143644,148.6847284808275,0,22.66579303111634,0,1995.57571364356,11.28886419851416,6.972321470804225,2,22.64434039749657,2,161.0620799371957,0,128.8952115279931,8,1.6994654052284843,2.1867000544323045,0.4872346492038205,50.05706767794174,153.7092680267687,3.070680628272251,1,0,0,0
0,6.033338664104559,65.80789147199017,23.00709468337336,0.0,2,-2.341981426347941,6.135893460779373,0,4,14.56293519803611,9.700415948571102,6.135893460779373,0,0,0.0,80.0673529356998,2,43.48058343518124,0,1107.629257484972,7.523698139305892,3.294634080850217,0,10.82998093879356,0,109.7216593163653,0,41.54242319814374,6,0.8062374204665714,2.6030429458474345,1.7968055253808632,6.400846618646093,400.9063598812003,62.63333333333334,0,0,1,1
0,9.44534862807167,20.77121159907187,16.19319806185771,0.0,2,-2.341842673811976,5.856557841500798,0,3,7.227081056343808,9.700419604583464,5.856557841500798,0,0,0.0,40.0336764678499,1,21.74029171759062,0,804.925793521736,3.755862605239929,2.622489617226438,2,5.41499046939678,0,79.12629793202909,1,20.77121159907187,4,0.6217773578259802,1.5170420073059672,0.8952646494799872,4.185789245511488,32.88834407187598,7.857142857142859,0,0,1,0
0,5.69068136127908,67.03706595217888,17.98560551795145,11.83581209232279,1,-2.560380670350534,2.589341563786008,0,3,11.09572932066664,9.493121969001452,1.08554007443708,0,0,0.0,71.13195342895072,0,11.33289651555817,0,608.9517673974138,6.819360932644663,3.049801780155555,0,0.0,0,59.6244435285146,0,52.31487162707333,3,1.6387134168211366,1.8599543364125866,0.22124091959145004,43.52245819713544,72.43597937705059,1.664335664335664,0,0,0,0
0,4.031772832731156,100.7069369538493,23.25128776332081,0.0,2,-2.395598108708276,6.177276680734022,0,6,14.88500483144503,9.689090392534677,6.177276680734022,0,0,0.0,92.15103459399572,0,33.49577396990991,0,1000.051231656923,8.044148793022343,3.361297454139301,2,0.0,2,120.5516402551589,0,41.54242319814374,6,2.3188322535260015,2.8025172777480525,0.4836850242220508,208.3685902860044,634.6251480792013,3.045685279187818,1,1,0,0
0,4.343918730003723,69.95822273838537,22.33778810689068,16.63034927639461,1,-2.542828379897654,13.40089943619525,0,7,17.37733775165996,9.492302048348856,0.0,1,0,4.794537184071822,84.97942782833196,0,11.33289651555817,0,723.4185536351547,5.596823094200439,4.125617018755943,1,16.73716066814507,1,72.71395634033975,0,66.16234602645459,3,0.05263490794554661,0.7611502301877958,0.7085153222422491,1.128846544600727,5.76966011684816,5.111111111111111,0,0,1,0
0,4.347639258055024,72.10598499021211,23.31599426775492,16.63034927639461,1,-2.54291084544554,13.51682914141067,0,7,17.74256671361511,9.492297887023657,1.017557580719124,1,0,4.794537184071822,84.97942782833196,0,11.33289651555817,0,766.1266129126665,5.604839675833092,4.068201835415833,1,10.82998093879356,1,73.47191792789584,0,52.31487162707333,3,1.0267965504590002,1.897891626633099,0.8710950761740986,10.63644626660736,79.0481347541047,7.431818181818182,0,0,1,0
0,2.168815257051812,65.43758662519906,23.09077520673115,0.0,0,-2.432559724251623,2.741288643582114,0,9,17.9788907594322,9.685882295475244,0.0,0,0,0.0,117.8343210856998,0,33.49577396990991,0,570.1286302842973,14.31350014411158,3.248563586111441,0,0.0,0,112.0472037304975,0,54.38406644399575,4,2.0419474981456163,2.0419474981456163,0.0,110.1406152517157,110.1406152517157,1.0,1,0,0,0
0,2.160698271532776,52.1760004061564,22.12602257523509,0.0,0,-2.394126746350383,3.96317548707721,0,10,17.68937660258408,9.689291157762858,0.0,0,0,0.0,124.2551427086258,0,33.49577396990991,0,531.0868711813785,15.59723063456195,3.432902681733851,2,0.0,2,97.95185976514314,0,60.80488806692176,4,0.5089477029896037,1.0182536410806673,0.5093059380910636,3.228105375292082,10.42926352017442,3.23076923076923,0,0,0,0
0,2.176475883586611,65.43758662519906,24.0575266998932,0.0,0,-2.431568223025765,2.742324258545225,0,10,17.9928235764317,9.685969793969653,0.0,0,0,0.0,124.2551427086258,0,33.49577396990991,0,584.6482052510061,15.77921250099999,3.651585439293148,0,0.0,0,112.0472037304975,0,60.80488806692176,4,1.6063068226140549,3.064727578667474,1.458420756053419,40.3930663212363,1160.72029658725,28.73563218390805,0,1,1,1
